Model,Accuracy,Precision,Recall,F1-Score
SVM,0.8852459016393442,0.9032258064516129,0.875,0.8888888888888888
Logistic Regression,0.8688524590163934,0.875,0.875,0.875
Random Forest,0.819672131147541,0.8620689655172413,0.78125,0.819672131147541
Decision Tree,0.7868852459016393,0.8275862068965517,0.75,0.7868852459016393
