Model,Accuracy,Precision,Recall,F1-Score
Logistic Regression,0.8852459016393442,0.9032258064516129,0.875,0.8888888888888888
Random Forest,0.8688524590163934,0.9285714285714286,0.8125,0.8666666666666667
SVM,0.8688524590163934,0.9,0.84375,0.8709677419354839
Decision Tree,0.8032786885245902,0.8125,0.8125,0.8125
